# packages in environment at /var/home/znmeb/miniforge3/envs/aider:
#
# Name                         Version          Build                 Channel
_libgcc_mutex                  0.1              conda_forge           conda-forge
_openmp_mutex                  4.5              2_gnu                 conda-forge
aider-install                  0.2.0            pypi_0                pypi
bzip2                          1.0.8            hda65f42_8            conda-forge
ca-certificates                2026.1.4         hbd8a1cb_0            conda-forge
cuda-cccl_linux-64             13.1.115         ha770c72_0            conda-forge
cuda-cudart-dev_linux-64       13.1.80          h376f20c_0            conda-forge
cuda-cudart-static_linux-64    13.1.80          h376f20c_0            conda-forge
cuda-cudart_linux-64           13.1.80          h376f20c_0            conda-forge
cuda-nvrtc                     13.1.115         hecca717_0            conda-forge
cuda-version                   13.1             h2ff5cdb_3            conda-forge
cudnn                          9.18.0.77        h886f0b6_0            conda-forge
cupy                           13.6.0           py314h972ecce_2       conda-forge
cupy-core                      13.6.0           py314h3ed1f13_2       conda-forge
cutensor                       2.4.1.4          h15eaa2f_0            conda-forge
fastrlock                      0.8.3            py314h8c728da_2       conda-forge
icu                            78.2             h33c6efd_0            conda-forge
ld_impl_linux-64               2.45             default_hbd61a6d_105  conda-forge
libblas                        3.11.0           5_h4a7cf45_openblas   conda-forge
libcblas                       3.11.0           5_h0358290_openblas   conda-forge
libcublas                      13.2.1.1         h676940d_0            conda-forge
libcudnn                       9.18.0.77        ha4b6413_0            conda-forge
libcudnn-dev                   9.18.0.77        h7bcfba5_0            conda-forge
libcufft                       12.1.0.78        hecca717_0            conda-forge
libcurand                      10.4.1.81        h676940d_0            conda-forge
libcusolver                    12.0.9.81        h676940d_0            conda-forge
libcusparse                    12.7.3.1         hecca717_0            conda-forge
libexpat                       2.7.3            hecca717_0            conda-forge
libffi                         3.5.2            h3435931_0            conda-forge
libgcc                         15.2.0           he0feb66_16           conda-forge
libgfortran                    15.2.0           h69a702a_16           conda-forge
libgfortran5                   15.2.0           h68bc16d_16           conda-forge
libgomp                        15.2.0           he0feb66_16           conda-forge
liblapack                      3.11.0           5_h47877c9_openblas   conda-forge
liblzma                        5.8.2            hb03c661_0            conda-forge
libmpdec                       4.0.0            hb03c661_1            conda-forge
libnvjitlink                   13.1.115         hecca717_0            conda-forge
libopenblas                    0.3.30           pthreads_h94d23a6_4   conda-forge
libsqlite                      3.51.2           hf4e2dac_0            conda-forge
libstdcxx                      15.2.0           h934c35e_16           conda-forge
libuuid                        2.41.3           h5347b49_0            conda-forge
libzlib                        1.3.1            hb9d3cd8_2            conda-forge
nccl                           2.29.2.1         h8340e53_1            conda-forge
ncurses                        6.5              h2d0b736_3            conda-forge
numpy                          2.4.1            py314h2b28147_0       conda-forge
nvidia-ml-py                   13.580.82        pyhd8ed1ab_0          conda-forge
nvitop                         1.6.1            pyh707e725_0          conda-forge
ollama                         0.15.2           cuda_130h9684303_0    conda-forge
openssl                        3.6.1            h35e630c_1            conda-forge
pip                            25.3             pyh145f28c_0          conda-forge
psutil                         7.2.1            py314h0f05182_0       conda-forge
python                         3.14.2           h32b2ec7_101_cp314    conda-forge
python_abi                     3.14             8_cp314               conda-forge
readline                       8.3              h853b02a_0            conda-forge
tk                             8.6.13           noxft_h366c992_103    conda-forge
tzdata                         2025c            hc9c84f9_1            conda-forge
uv                             0.9.27           pypi_0                pypi
zstd                           1.5.7            hb78ec9c_6            conda-forge
